transliteration,translation
-mê I,"after voc. and pron. ""hey!"" jB"
-mî I,ptcl. in interrog. clauses
-ni I,Ass. subjunct. suff.
-u I,loc.-adv. suffix cf. GAG §66
A-Eridu I,nan
ASARI I,nan
Aba I,nan
Aba-Ninnu-dari I,nan
Aba-gu I,nan
Aba-il I,nan
Abaliuqunu I,nan
Abani I,nan
Abaralah I,nan
Abarhenŋal I,nan
Abat-šarri-uṣur I,nan
Abattu I,nan
Abaya-ili I,nan
Abayu I,nan
Abba I,nan
Abbagula I,nan
Abda I,nan
Abdaya I,nan
Abdaʾ I,nan
Abdi I,nan
Abdi-Aguni I,nan
Abdi-Azuzi I,nan
Abdi-Belanu I,nan
Abdi-Dada I,nan
Abdi-El I,nan
Abdi-Hemmunu I,nan
Abdi-Kububi I,nan
Abdi-Kurra I,nan
Abdi-Milki I,nan
Abdi-Ramman I,nan
Abdi-Samsi I,nan
Abdi-Seʾ I,nan
Abdi-Sikuni I,nan
Abdi-ilim I,nan
Abdudaya I,nan
Abdudu I,nan
Abdunu I,nan
Abetura I,nan
Abi-Huru I,nan
Abi-Seʾ I,nan
Abi-dala I,nan
Abi-danu I,nan
Abi-ešuh I,nan
Abi-hari I,nan
Abi-hasa I,nan
Abi-haʾli I,nan
Abi-ilaʾi I,nan
Abi-ili I,nan
Abi-ilu I,nan
Abi-iti I,nan
Abi-larim I,nan
Abi-lihia I,nan
Abi-lihiya I,nan
Abi-lu-reʾi I,nan
Abi-nuri I,nan
Abi-qamu I,nan
Abi-rahi I,nan
Abi-rahimu I,nan
Abi-ramu I,nan
Abi-rixxx I,nan
Abi-salam I,nan
Abi-ul-idi I,nan
Abi-umme I,nan
Abi-xxx I,nan
Abi-yadiʾ I,nan
Abi-yaqa I,nan
Abi-yaqar I,nan
Abi-yaqiya I,nan
Abi-yasubu I,nan
Abile I,nan
Abkar I,nan
Abmunzerkiʾag I,nan
Abmunzerkiʾaŋ I,nan
Abnanu I,nan
Abni I,nan
AbnirBU I,nan
Abu-duri I,nan
Abu-eriba I,nan
Abu-ilaʾi I,nan
Abu-ina-ekalli-lilbur I,nan
Abu-kenu I,nan
Abu-lešir I,nan
Abu-ul-idi I,nan
Abu-uṣur I,nan
Abu-xxx-šumi I,nan
Abu-šamši I,nan
Abu-ṭaba I,nan
Abunu I,nan
Abunumunmundudu I,nan
Abzi I,nan
Abzu I,nan
Abša I,nan
Abši-Ešu I,nan
Ada I,nan
Adab I,nan
Adad I,nan
Adad-abu-uṣur I,nan
Adad-abuʾa I,nan
Adad-ahhe-šallim I,nan
Adad-ahu-iddina I,nan
Adad-ahu-uṣur I,nan
Adad-apal-iddina I,nan
Adad-aplu-iddina I,nan
Adad-bel I,nan
Adad-belu-taqqin I,nan
Adad-belu-uṣur I,nan
Adad-bessunu I,nan
Adad-dan I,nan
Adad-ereš I,nan
Adad-eriba I,nan
Adad-gappi I,nan
Adad-ibni I,nan
Adad-ilaʾi I,nan
Adad-iqbi I,nan
Adad-iqiša I,nan
Adad-iriba I,nan
Adad-isseʾa I,nan
Adad-kašir I,nan
Adad-killanni I,nan
Adad-mušammer I,nan
Adad-mušeṣi I,nan
Adad-nadin-ahi I,nan
Adad-nadin-šumi I,nan
Adad-naṣir I,nan
Adad-nerari I,nan
Adad-nuri I,nan
Adad-rapa I,nan
Adad-remanni I,nan
Adad-reṣuwa I,nan
Adad-riba-ahhe I,nan
Adad-taklak I,nan
Adad-uballiṭ I,nan
Adad-šallim I,nan
Adad-šarru-uṣur I,nan
Adad-šezib I,nan
Adad-šimanni I,nan
Adad-šumu-iddina I,nan
Adad-šumu-iškun I,nan
Adad-šumu-uṣur I,nan
Adad-ṭaba I,nan
Adallal I,nan
Adapa I,nan
Adari I,nan
Adda I,nan
Adda-babaʾu I,nan
Adda-hati I,nan
Adda-iaba I,nan
Adda-idri I,nan
Adda-imme I,nan
Adda-kabar I,nan
Adda-ladin I,nan
Adda-nagi I,nan
Adda-natan I,nan
Adda-pada I,nan
Adda-rahimu I,nan
Adda-ramu I,nan
Adda-rapa I,nan
Adda-saka I,nan
Adda-sannani I,nan
Adda-yaba I,nan
Adda-yababa I,nan
Adda-šumki I,nan
Addaru Arku I,nan
Addaru I,nan
Addati I,nan
Addi I,nan
Addiqritušu I,nan
Addu I,nan
Adgi-hinna I,nan
Adgi-hiʾil I,nan
Adgigi I,nan
Adi-ilu I,nan
Adi-mati-Nabu I,nan
Adi-mati-ilu I,nan
Adia I,nan
Adian I,nan
Adinni I,nan
Aduni-Baʾal I,nan
Aduni-ihʾa I,nan
Aduni-ṭubu I,nan
Adunu I,nan
Adunu-dala I,nan
Adunu-izzi I,nan
Adunu-milkuti I,nan
Aduru I,nan
Agdaš-ili I,nan
Aggaru I,nan
Aginsigeš I,nan
Aginu I,nan
Aginzamanuš I,nan
Agru I,nan
Ah-abi I,nan
Ah-abu I,nan
Ah-imme I,nan
Ahassunu I,nan
Ahat-abiša I,nan
Ahat-imma I,nan
Ahata I,nan
Ahataya I,nan
Ahati-ṭabat I,nan
Ahbitu I,nan
Ahhahu I,nan
Ahhea I,nan
Ahhešaya I,nan
Ahhešu I,nan
Ahhutun I,nan
Ahi-Milki I,nan
Ahi-Yau I,nan
Ahi-bi-gayanu I,nan
Ahi-gedi I,nan
Ahi-idri I,nan
Ahi-larim I,nan
Ahi-leti I,nan
Ahi-limmi I,nan
Ahi-nadbi I,nan
Ahi-pada I,nan
Ahi-qamu I,nan
Ahi-qumu I,nan
Ahi-ramu I,nan
Ahi-yababa I,nan
Ahi-yaqar I,nan
Ahi-ṭalli I,nan
Ahi-ṭuri I,nan
Ahiqar I,nan
Ahiya I,nan
Ahlamu I,nan
Ahu I,nan
Ahu-aya I,nan
Ahu-bani I,nan
Ahu-damqu I,nan
Ahu-dur-enši I,nan
Ahu-duri I,nan
Ahu-ereš I,nan
Ahu-eriba I,nan
Ahu-iddina I,nan
Ahu-ilaʾi I,nan
Ahu-illika I,nan
Ahu-ittabši I,nan
Ahu-la-amašši I,nan
Ahu-lamur I,nan
Ahu-lešir I,nan
Ahu-leʾi I,nan
Ahu-leʾuti I,nan
Ahu-lurši I,nan
Ahu-nuri I,nan
Ahu-uqur I,nan
Ahu-šamši I,nan
Ahu-ṭaba I,nan
Ahu-ṭabu I,nan
Ahuanu I,nan
Ahubu I,nan
Ahudanadih I,nan
Ahulamma I,nan
Ahuni I,nan
Ahunu I,nan
Ahusitu I,nan
Ahutu-hidi I,nan
Ahušina I,nan
Ahuʾa I,nan
Ahuʾa-amur I,nan
Ahuʾa-eriba I,nan
Ahšunu I,nan
Ahʾutu I,nan
Aia-ahhe I,nan
Aia-šarru-ibni I,nan
Aira I,nan
Aissi I,nan
Akakua I,nan
Akbara I,nan
Akbaru I,nan
Akburu I,nan
Akisu I,nan
Akkad I,nan
Akkadayu I,nan
Akkadu I,nan
Akkuddu I,nan
Akkullanu I,nan
Akpalu I,nan
Aku-xxx I,nan
Akus I,nan
Akšak I,nan
Al-Aššur I,nan
Al-Aššur II,nan
Al-hapi-mepi I,nan
Al-radi-imari I,nan
Al-tuklatuʾa I,nan
Al-ša-rešani I,nan
Al-šukkalli I,nan
Alalgar I,nan
Alalu I,nan
Alammuš I,nan
Alamu I,nan
Alba I,nan
Alexander I,nan
Algariga I,nan
Alha I,nan
Alihu I,nan
Alimdurah I,nan
Alla I,nan
Allamu I,nan
Allatu I,nan
Alli I,nan
Alliyi I,nan
Alluttu I,nan
Almanu I,nan
Alu I,nan
Alu-ašlaki I,nan
Alu-ikkarati I,nan
Alu-masenni I,nan
Alu-nappahi I,nan
Alu-pahhari I,nan
Alu-ša-tamkari I,nan
Alu-ṣarrapi I,nan
Alulu I,nan
Alzi I,nan
Alzunu I,nan
Ama I,nan
AmaKAanisi I,nan
Amadimmer I,nan
Amadimmeriminbi I,nan
Amagandu I,nan
Amahtuku I,nan
Amakani I,nan
Amantu I,nan
Amar-Suena I,nan
Amar-ili I,nan
Amaraheʾea I,nan
Amarazu I,nan
Amaršuba I,nan
Amasagnudu I,nan
Amat-Bel-uṣur I,nan
Amat-Kurra I,nan
Amat-Sula I,nan
Amautuanki I,nan
Amazilla I,nan
Amašuhalbi I,nan
Amaʾarhuš I,nan
Amel-Ea I,nan
Amel-Enlil I,nan
Amel-Marduk I,nan
Amel-Nabu I,nan
Amel-Nanaya I,nan
Ameluana I,nan
Ameqi I,nan
Amidu I,nan
Amiru I,nan
Amma I,nan
Ammaškiri I,nan
Ammegalana I,nan
Ammeluana I,nan
Ammi-Yateʾu I,nan
Ammi-kenu I,nan
Ammi-ladin I,nan
Ammi-leti I,nan
Ammi-ramu I,nan
Ammi-raʾi I,nan
Ammi-suri I,nan
Ammi-yababa I,nan
Ammi-yataʾ I,nan
Ammini-ili I,nan
Amna I,nan
Ampihabi I,nan
Amqarrunaya I,nan
Amra I,nan
Amru-Issar I,nan
Amsi I,nan
Amu-rṭeše I,nan
Amur-ilu I,nan
Amurri I,nan
Amurru I,nan
Amurru II,nan
Amurru III,nan
Amušu I,nan
An I,nan
An-Enlilda I,nan
Ana-Aššur-taklak I,nan
Ana-Nabu-taklak I,nan
Ana-iliya-taklak I,nan
Ana-tabinišu I,nan
Anah I,nan
Anaku I,nan
Anat I,nan
Anat-dalati I,nan
Andaranu I,nan
Andia I,nan
Andiaya I,nan
Andiayu I,nan
Andullu I,nan
Andurunna I,nan
Angal I,nan
Angir I,nan
Anhiliba I,nan
Anisu I,nan
Annunitu I,nan
Anti'uksu I,nan
Antibal I,nan
Antigonus I,nan
Antu I,nan
Anu--xxx I,nan
Anu-ab-uter I,nan
Anu-ab-uṣur I,nan
Anu-ah-iddin I,nan
Anu-ah-ittannu I,nan
Anu-ah-ušabši I,nan
Anu-ahhe-eriba I,nan
Anu-ahhe-iddin I,nan
Anu-ahhe-iqiša I,nan
Anu-ahšu-uballiṭ I,nan
Anu-ana-bitišu I,nan
Anu-ana-matišu I,nan
Anu-balassu-iqbi I,nan
Anu-bel-zeri I,nan
Anu-belšunu I,nan
Anu-dan I,nan
Anu-ereš I,nan
Anu-eriba I,nan
Anu-ikṣur I,nan
Anu-iqišanni I,nan
Anu-kaṣir I,nan
Anu-mannu I,nan
Anu-mar-ittannu I,nan
Anu-mukin-apli I,nan
Anu-mušallim I,nan
Anu-nuri I,nan
Anu-reʾušunu I,nan
Anu-taklak I,nan
Anu-uballissu I,nan
Anu-uballiṭ I,nan
Anu-uṣur I,nan
Anu-zer-ibni I,nan
Anu-zer-iddin I,nan
Anu-zer-lišir I,nan
Anu-šum-ibni I,nan
Anu-šum-iddin I,nan
Anu-šum-lišir I,nan
Anu-šumu-ušabši I,nan
Anubu I,nan
Anunnaku I,nan
Anunu I,nan
Anzu I,nan
Anšan I,nan
Anšar I,nan
Anšeʾamanigandu I,nan
Apalla I,nan
Aparu I,nan
Apaya I,nan
Apil-Addu I,nan
Apinduha I,nan
Apkallu I,nan
Apku I,nan
Apladad-dala I,nan
Apladad-hutni I,nan
Apladad-idri I,nan
Apladad-ilaʾi I,nan
Apladad-kabti-ahhe I,nan
Apladad-killanni I,nan
Apladad-naʾdi I,nan
Aplaya I,nan
Apli I,nan
Aplu-iddina I,nan
Aplu-uṣur I,nan
Aplu-šezibanni I,nan
Aplutu I,nan
Appa I,nan
Appina I,nan
Appuni I,nan
Apsu I,nan
Aqaba I,nan
Aqar-Bel-lumur I,nan
Aqar-Nabu I,nan
Aqara I,nan
Aqdaš-il I,nan
Aqru I,nan
Arad-Ea I,nan
Arad-Ištar I,nan
Arad-Nabu I,nan
Arad-Reš I,nan
Arad-Šamaš I,nan
Aradataya I,nan
Arahsamnu I,nan
Arakai I,nan
Arallu I,nan
Aramiš-šar-ilani I,nan
Aramu I,nan
Aranuna I,nan
Arazaya I,nan
Arazu I,nan
Araši I,nan
Arbail I,nan
Arbail-šarrat I,nan
Arbailayu I,nan
Arbaya I,nan
Arbayu I,nan
Arbaʾil I,nan
Arbitehi I,nan
Arda I,nan
Ardiya I,nan
Argada I,nan
Argasu I,nan
Argisti I,nan
Argistiani I,nan
Argite I,nan
Argunu I,nan
Arhi I,nan
Ariawate I,nan
Ariaza I,nan
Aridu I,nan
Arihu I,nan
Ariri I,nan
Aristocrates I,nan
Ariye I,nan
Armaya I,nan
Armaya II,nan
Armiraliu I,nan
Arna I,nan
Arnubu I,nan
Arpadda I,nan
Arpaddaya I,nan
Arrabatu I,nan
Arrakdi I,nan
Arranu I,nan
Arrapha I,nan
Arraphaya I,nan
Artaxerxes I,nan
Aru I,nan
Aruas-madi I,nan
Aruru I,nan
Arzabia I,nan
Arzabiaya I,nan
Arzaya I,nan
Arzezu I,nan
Arzi I,nan
Arzizaya I,nan
Arzizi I,nan
Arzuhina I,nan
Arzuhinaya I,nan
Aršakâ I,nan
Asakku I,nan
Asalluhi I,nan
Asalluhi-ahhe-iddina I,nan
Asalluhi-duri I,nan
Asalluhi-ereš I,nan
Asalluhi-hutni I,nan
Asalluhi-mansum I,nan
Asalluhi-remanni I,nan
Asalluhi-šumu-iddina I,nan
Asaralim I,nan
Asaralimnuna I,nan
Asare I,nan
Asarluhi I,nan
Asdudaya I,nan
Asdudu I,nan
Asidu I,nan
Asinu I,nan
Asqudu I,nan
Asrukanu I,nan
Assi I,nan
Assurbanipal I,nan
Assurnaṣirpal I,nan
Astar-qumu I,nan
Asu I,nan
Asukukusiana I,nan
Ata I,nan
Atah I,nan
Atamar-Aššur I,nan
Atamar-Issar I,nan
Atamar-Marduk I,nan
Atanha-ilu I,nan
Atanha-Šamaš I,nan
Atar-ili I,nan
Atar-suri I,nan
Atar-yatiʾ I,nan
Atinnu I,nan
Atiʾ I,nan
Atra-hasis I,nan
Atta-idri I,nan
Atta-qamuʾa I,nan
Atta-suri I,nan
Attar-ham I,nan
Attar-idri I,nan
Attar-qamu I,nan
Attar-suri I,nan
Attar-šumki I,nan
Attara I,nan
Attaʾani I,nan
Atu I,nan
Atuehu I,nan
Atunnaya I,nan
Auianu I,nan
Auiraya I,nan
Awianu I,nan
Awyanu I,nan
Aya I,nan
Aya-Milki I,nan
Aya-Mitunu I,nan
Aya-abu-uṣur I,nan
Aya-ahhe I,nan
Aya-ahi I,nan
Aya-ammu I,nan
Aya-barakka I,nan
Aya-dadu I,nan
Aya-halu I,nan
Aya-hari I,nan
Aya-kettu-iqbi I,nan
Aya-lešir I,nan
Aya-mahir I,nan
Aya-neri I,nan
Aya-nuhši-uṣur I,nan
Aya-saggi I,nan
Aya-suri I,nan
Aya-yababa I,nan
Aya-šarru-ibni I,nan
Aya-ṭuri I,nan
Ayakki-ibni I,nan
Ayakku I,nan
Ayaru I,nan
Ayne I,nan
Ayyabitu I,nan
Ayyalu I,nan
Ayyaru I,nan
Aza I,nan
Azallu I,nan
Azari I,nan
Azarru I,nan
Azi I,nan
Azi-il I,nan
Azu I,nan
Azzanayu I,nan
Ašapi I,nan
Ašaredu I,nan
Ašaru I,nan
Ašgandu I,nan
Ašipa I,nan
Aširu I,nan
Aškaʾitu I,nan
Ašnan I,nan
Ašpa-bara I,nan
Ašrat I,nan
Aštamašti I,nan
Ašu I,nan
Ašuisi I,nan
Aššur I,nan
Aššur-abu-iddina I,nan
Aššur-abu-uṣur I,nan
Aššur-ah-iddina I,nan
Aššur-ahhe I,nan
Aššur-ahhe-uṣur I,nan
Aššur-ahhešu-ereš I,nan
Aššur-ahu-iddina I,nan
Aššur-ahu-iddina II,nan
Aššur-ahu-uṣur I,nan
Aššur-alik-pani I,nan
Aššur-aplu-iddina I,nan
Aššur-aplu-uṣur I,nan
Aššur-ašared I,nan
Aššur-balti-Ekurri I,nan
Aššur-balti-niše I,nan
Aššur-bani I,nan
Aššur-bani-ahhe I,nan
Aššur-bani-apli I,nan
Aššur-bel-ilani I,nan
Aššur-bel-šarrani I,nan
Aššur-belu-daʾʾin I,nan
Aššur-belu-kaʾʾin I,nan
Aššur-belu-taqqin I,nan
Aššur-belu-udaʾʾan I,nan
Aššur-belu-uṣur I,nan
Aššur-bessunu I,nan
Aššur-bunaya-uṣur I,nan
Aššur-bunaʾi I,nan
Aššur-dalal I,nan
Aššur-dan I,nan
Aššur-daʾʾin-aplu I,nan
Aššur-daʾʾin-šarru I,nan
Aššur-daʾʾinanni I,nan
Aššur-deni-amur I,nan
Aššur-deʾiq I,nan
Aššur-dur-paniya I,nan
Aššur-duru-uṣur I,nan
Aššur-ereš I,nan
Aššur-etel-ilani-mukinni I,nan
Aššur-etel-šame-erṣeti-muballisu I,nan
Aššur-eṭir I,nan
Aššur-eṭiranni I,nan
Aššur-garuʾa-nere I,nan
Aššur-gimilli-tere I,nan
Aššur-gimillu-tere I,nan
Aššur-ibni I,nan
Aššur-ibni-ahhe I,nan
Aššur-iddin I,nan
Aššur-iddina I,nan
Aššur-ilaʾi I,nan
Aššur-isseʾa I,nan
Aššur-kenu-balliṭ I,nan
Aššur-kenu-uṣur I,nan
Aššur-kettu-iram I,nan
Aššur-killanni I,nan
Aššur-la-kenu-ubaša I,nan
Aššur-leʾani I,nan
Aššur-leʾi I,nan
Aššur-matu-taqqin I,nan
Aššur-mukin-paleya I,nan
Aššur-mutakkil-šarri I,nan
Aššur-mutaqqin I,nan
Aššur-mušallim I,nan
Aššur-nadin-ahhe I,nan
Aššur-nadin-ahi I,nan
Aššur-nadin-šumi I,nan
Aššur-natkil I,nan
Aššur-naʾdi I,nan
Aššur-naṣir I,nan
Aššur-nerari I,nan
Aššur-neše I,nan
Aššur-patinu I,nan
Aššur-qassu I,nan
Aššur-remanni I,nan
Aššur-reši-išši I,nan
Aššur-reʾušunu I,nan
Aššur-reṣiwa I,nan
Aššur-reṣuwa I,nan
Aššur-taklak I,nan
Aššur-taqqinanni I,nan
Aššur-uballiṭ I,nan
Aššur-ušallim I,nan
Aššur-zeru-ibni I,nan
Aššur-zeru-iddina I,nan
Aššur-šallim I,nan
Aššur-šallim-ahhe I,nan
Aššur-šallimšunu I,nan
Aššur-šar-ahhe I,nan
Aššur-šarrani I,nan
Aššur-šarru-ibni I,nan
Aššur-šarru-iddina I,nan
Aššur-šarru-uṣur I,nan
Aššur-šezibanni I,nan
Aššur-šimanni I,nan
Aššur-šiʾi I,nan
Aššur-šulmu-amur I,nan
Aššur-šumu-ibni I,nan
Aššur-šumu-iddina I,nan
Aššur-šumu-kaʾʾin I,nan
Aššur-šumu-lešir I,nan
Aššur-šumu-uṣur I,nan
Aššur-ṣabtanni I,nan
Aššuraya I,nan
Aššurayu I,nan
Aššurnaṣirpal I,nan
Aʾilanu I,nan
